 fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames
 1000, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 203, 0, 294, 163, 43, 490
 1000, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 7, 0, 6, 493, 1, 259
 1000, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 262, 0, 358, 93, 49, 841
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.99, 0.97, 5, 500, 1, 0, 497, 3, 0, 80
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.99, 0.97, 5, 500, 2, 0, 495, 4, 1, 111
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.99, 0.97, 5, 500, 1, 0, 497, 3, 0, 80
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.99, 0.97, 5, 500, 1, 0, 497, 3, 0, 80
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.2, 0.97, 5, 500, 218, 0, 383, 98, 19, 791
 1000, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 242, 0, 360, 100, 40, 638
 1000, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 232, 0, 341, 116, 43, 567
 1000, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 5, 0, 5, 495, 0, 226
 1000, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 240, 0, 350, 78, 72, 812
 1000, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 231, 0, 338, 113, 49, 621
 10, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 250, 0, 346, 106, 48, 770
 10, 5, 80, 10, 10, 0.02, 0.793, 1, 0.97, 5, 500, 1, 0, 499, 0, 1, 35
 10, 5, 80, 10, 10, 0.02, 0.793, 1, 0.97, 5, 500, 1, 0, 500, 0, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 1, 0.97, 5, 500, 1, 0, 500, 0, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 1, 0.97, 5, 500, 1, 0, 500, 0, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 1, 0.97, 100, 500, 1, 0, 500, 0, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.2, 0.97, 100, 500, 5, 0, 446, 0, 54, 84
 10, 5, 80, 10, 10, 0.02, 0.793, 0.2, 0.97, 5, 500, 1, 0, 99, 400, 1, 67
 10, 5, 80, 10, 10, 0.02, 0.793, 0.2, 0.97, 5, 500, 2, 0, 107, 393, 0, 111
 10, 5, 80, 10, 10, 0.02, 0.793, 0.2, 0.97, 5, 1000, 264, 0, 840, 81, 79, 668
 10, 5, 80, 10, 10, 0.02, 0.793, 0.2, 0.97, 5, 1000, 1, 1, 199, 800, 0, 53
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 5, 0, 714, 285, 1, 229
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 181, 0, 882, 95, 23, 1095
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 11, 0, 725, 273, 2, 178
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 96, 38, 757, 189, 16, 764
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 1, 693, 306, 0, 49
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 2, 2, 696, 302, 0, 76
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 1, 677, 322, 0, 33
